Name,Volume,Price,Price Change,Price Percent Change
PMGC Holdings Inc. (ELAB),92.6K,5.1,0.19,3.87
USANA Health Sciences Inc. (USNA),115.5K,27.24,0.98,3.73
Markforged Holding Corp. (MKFG),681.7K,4.46,0.16,3.72
1stdibs.com Inc. (DIBS),85.2K,3.1,0.11,3.68
Talos Energy Inc. (TALO),1.6M,9.57,0.34,3.63
First of Long Island Corp. (FLIC),93.5K,12.49,0.43,3.57
Universal Insurance Holdings Inc. (UVE),124.3K,22.71,0.77,3.51
ConnectOne Bancorp Inc. (CNOB),373.6K,24.56,0.83,3.5
TAL Education Group ADR (TAL),5.1M,13.48,0.46,3.49
Avis Budget Group Inc. (CAR),1.7M,61.55,2.07,3.48
FIGS Inc. (FIGS),2.0M,4.84,0.16,3.42
Kingstone Cos. Inc. (KINS),248.7K,16.67,0.55,3.41
HCI Group Inc. (HCI),141.6K,145.26,4.79,3.41
American Coastal Insurance Corp. (ACIC),261.6K,11.87,0.39,3.4
Sysco Corp. (SYY),2.2M,72.76,2.37,3.37
Adient PLC (ADNT),1.7M,15.08,0.49,3.36
Trinseo PLC (TSE),256.7K,4.04,0.13,3.32
